id	idx	taskidx	option	temporal	status
576	40	8	HIDDEN	LOW	0
577	15	9	HIDDEN	HIGH	0
578	40	9	HIDDEN	LOW	0
579	15	10	HIDDEN	HIGH	0
580	40	10	HIDDEN	LOW	0
581	15	11	SAT	HIGH	0
582	40	11	SAT	LOW	0
583	15	12	UNSAT	HIGH	0
584	40	12	UNSAT	LOW	0
585	15	13	HIDDEN	HIGH	0
586	40	13	HIDDEN	LOW	0
587	15	14	MIDSAT	HIGH	0
588	40	14	MIDSAT	LOW	0
589	15	15	HIDDEN	HIGH	0
590	40	15	HIDDEN	LOW	0
591	15	16	MIDSAT	HIGH	0
592	40	16	MIDSAT	LOW	0
593	15	17	HIDDEN	HIGH	0
594	40	17	HIDDEN	LOW	0
595	15	18	SAT	HIGH	0
596	40	18	SAT	LOW	0
597	15	19	MIDSAT	HIGH	0
598	40	19	MIDSAT	LOW	0
599	15	20	SAT	HIGH	0
600	40	20	SAT	LOW	0
601	16	1	HIDDEN	HIGH	0
602	41	1	HIDDEN	LOW	0
603	16	2	UNSAT	HIGH	0
604	41	2	UNSAT	LOW	0
605	16	3	HIDDEN	HIGH	0
606	41	3	HIDDEN	LOW	0
607	16	4	SAT	HIGH	0
608	41	4	SAT	LOW	0
609	16	5	MIDSAT	HIGH	0
610	41	5	MIDSAT	LOW	0
611	16	6	HIDDEN	HIGH	0
612	41	6	HIDDEN	LOW	0
613	16	7	MIDSAT	HIGH	0
614	41	7	MIDSAT	LOW	0
615	16	8	HIDDEN	HIGH	0
616	41	8	HIDDEN	LOW	0
617	16	9	UNSAT	HIGH	0
618	41	9	UNSAT	LOW	0
619	16	10	SAT	HIGH	0
620	41	10	SAT	LOW	0
621	16	11	HIDDEN	HIGH	0
622	41	11	HIDDEN	LOW	0
623	16	12	UNSAT	HIGH	0
624	41	12	UNSAT	LOW	0
625	16	13	MIDSAT	HIGH	0
626	41	13	MIDSAT	LOW	0
627	16	14	SAT	HIGH	0
628	41	14	SAT	LOW	0
629	16	15	HIDDEN	HIGH	0
630	41	15	HIDDEN	LOW	0
631	16	16	HIDDEN	HIGH	0
632	41	16	HIDDEN	LOW	0
633	16	17	SAT	HIGH	0
634	41	17	SAT	LOW	0
635	16	18	MIDSAT	HIGH	0
636	41	18	MIDSAT	LOW	0
637	16	19	HIDDEN	HIGH	0
638	41	19	HIDDEN	LOW	0
639	16	20	UNSAT	HIGH	0
640	41	20	UNSAT	LOW	0
641	17	1	UNSAT	HIGH	0
642	42	1	UNSAT	LOW	0
643	17	2	HIDDEN	HIGH	0
644	42	2	HIDDEN	LOW	0
645	17	3	SAT	HIGH	0
646	42	3	SAT	LOW	0
647	17	4	MIDSAT	HIGH	0
648	42	4	MIDSAT	LOW	0
649	17	5	SAT	HIGH	0
650	42	5	SAT	LOW	0
651	17	6	MIDSAT	HIGH	0
652	42	6	MIDSAT	LOW	0
653	17	7	HIDDEN	HIGH	0
654	42	7	HIDDEN	LOW	0
655	17	8	SAT	HIGH	0
656	42	8	SAT	LOW	0
657	17	9	HIDDEN	HIGH	0
658	42	9	HIDDEN	LOW	0
659	17	10	MIDSAT	HIGH	0
660	42	10	MIDSAT	LOW	0
661	17	11	SAT	HIGH	0
